tx,ty,tile_id,bx_global,by_global,dominant_texture,dominant_pct,n_textures,tex_1,pct_1,tex_2,pct_2,tex_3,pct_3,tex_4,pct_4,tex_5,pct_5,tex_6,pct_6,tex_7,pct_7
1,0,1,6,3,Dirt_01,79.26,2,Dirt_01,79.26,Grass_03,20.74,,,,,,,,,,
1,0,1,7,3,Dirt_01,76.15,2,Dirt_01,76.15,Grass_03,23.85,,,,,,,,,,
2,0,2,8,0,SeaBed_01,99.9,1,SeaBed_01,99.9,,,,,,,,,,,,
2,0,2,9,0,SeaBed_01,90.71,2,SeaBed_01,90.71,Rock_01,9.29,,,,,,,,,,
2,0,2,10,0,SeaBed_01,91.11,2,SeaBed_01,91.11,Rock_01,8.89,,,,,,,,,,
2,0,2,11,0,SeaBed_01,92.18,2,SeaBed_01,92.18,Rock_01,7.82,,,,,,,,,,
2,0,2,8,1,Dirt_01,83.72,4,Dirt_01,83.72,Grass_03,8.2,Rock_01,7.31,SeaBed_01,0.77,,,,,,
2,0,2,9,1,Dirt_01,79.31,4,Dirt_01,79.31,Rock_01,11.32,Grass_03,8.72,SeaBed_01,0.65,,,,,,
2,0,2,10,1,Dirt_01,81.08,4,Dirt_01,81.08,Rock_01,12.91,Grass_03,5.43,SeaBed_01,0.58,,,,,,
2,0,2,11,1,Dirt_01,83.72,4,Dirt_01,83.72,Rock_01,13.08,Grass_03,2.41,SeaBed_01,0.78,,,,,,
2,0,2,8,2,Dirt_01,79.33,2,Dirt_01,79.33,Grass_03,20.67,,,,,,,,,,
2,0,2,9,2,Dirt_01,78.3,2,Dirt_01,78.3,Grass_03,21.7,,,,,,,,,,
2,0,2,10,2,Dirt_01,78.2,2,Dirt_01,78.2,Grass_03,21.8,,,,,,,,,,
2,0,2,11,2,Dirt_01,78.88,2,Dirt_01,78.88,Grass_03,21.12,,,,,,,,,,
2,0,2,8,3,Dirt_01,73.71,2,Dirt_01,73.71,Grass_03,26.29,,,,,,,,,,
2,0,2,9,3,Dirt_01,71.94,2,Dirt_01,71.94,Grass_03,28.06,,,,,,,,,,
2,0,2,10,3,Dirt_01,70.14,2,Dirt_01,70.14,Grass_03,29.86,,,,,,,,,,
2,0,2,11,3,Dirt_01,69.7,2,Dirt_01,69.7,Grass_03,30.3,,,,,,,,,,
3,0,3,12,0,SeaBed_01,92.25,2,SeaBed_01,92.25,Rock_01,7.75,,,,,,,,,,
3,0,3,13,0,SeaBed_01,99.15,2,SeaBed_01,99.15,Rock_01,0.85,,,,,,,,,,
3,0,3,14,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
3,0,3,15,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
3,0,3,12,1,Dirt_01,75.05,3,Dirt_01,75.05,Rock_01,23.87,SeaBed_01,0.63,,,,,,,,
3,0,3,13,1,Dirt_01,74.63,3,Dirt_01,74.63,Rock_01,24.48,SeaBed_01,0.8,,,,,,,,
3,0,3,14,1,Dirt_01,80.7,3,Dirt_01,80.7,Rock_01,18.5,SeaBed_01,0.78,,,,,,,,
3,0,3,15,1,Dirt_01,77.03,3,Dirt_01,77.03,Rock_01,21.92,SeaBed_01,0.78,,,,,,,,
3,0,3,12,2,Dirt_01,75.6,3,Dirt_01,75.6,Grass_03,21.63,Rock_01,2.77,,,,,,,,
3,0,3,13,2,Dirt_01,70.06,3,Dirt_01,70.06,Grass_03,22.37,Rock_01,7.58,,,,,,,,
3,0,3,14,2,Dirt_01,60.97,3,Dirt_01,60.97,Grass_03,20.26,Rock_01,18.77,,,,,,,,
3,0,3,15,2,Dirt_01,54.39,3,Dirt_01,54.39,Rock_01,26.71,Grass_03,18.9,,,,,,,,
3,0,3,12,3,Dirt_01,68.7,2,Dirt_01,68.7,Grass_03,31.3,,,,,,,,,,
3,0,3,13,3,Dirt_01,65.45,2,Dirt_01,65.45,Grass_03,34.55,,,,,,,,,,
3,0,3,14,3,Dirt_01,62.88,2,Dirt_01,62.88,Grass_03,37.12,,,,,,,,,,
3,0,3,15,3,Dirt_01,61.04,2,Dirt_01,61.04,Grass_03,38.96,,,,,,,,,,
4,0,4,16,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
4,0,4,17,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
4,0,4,18,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
4,0,4,19,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
4,0,4,16,1,Dirt_01,79.48,3,Dirt_01,79.48,Rock_01,19.51,SeaBed_01,0.8,,,,,,,,
4,0,4,17,1,Dirt_01,76.95,3,Dirt_01,76.95,Rock_01,22.13,SeaBed_01,0.8,,,,,,,,
4,0,4,18,1,Dirt_01,82.27,3,Dirt_01,82.27,Rock_01,16.95,SeaBed_01,0.78,,,,,,,,
4,0,4,19,1,Dirt_01,83.96,3,Dirt_01,83.96,Rock_01,15.26,SeaBed_01,0.78,,,,,,,,
4,0,4,16,2,Dirt_01,51.32,3,Dirt_01,51.32,Rock_01,29.57,Grass_03,19.1,,,,,,,,
4,0,4,17,2,Dirt_01,59.26,3,Dirt_01,59.26,Grass_03,20.82,Rock_01,19.92,,,,,,,,
4,0,4,18,2,Dirt_01,64.23,3,Dirt_01,64.23,Rock_01,18.45,Grass_03,17.31,,,,,,,,
4,0,4,19,2,Dirt_01,73.49,3,Dirt_01,73.49,Rock_01,16.19,Grass_03,10.33,,,,,,,,
4,0,4,16,3,Dirt_01,59.2,3,Dirt_01,59.2,Grass_03,38.93,Rock_01,1.87,,,,,,,,
4,0,4,17,3,Dirt_01,55.78,3,Dirt_01,55.78,Grass_03,34.92,Rock_01,9.31,,,,,,,,
4,0,4,18,3,Dirt_01,60.07,3,Dirt_01,60.07,Grass_03,33.86,Rock_01,6.07,,,,,,,,
4,0,4,19,3,Dirt_01,59.52,3,Dirt_01,59.52,Grass_03,28.57,Rock_01,11.92,,,,,,,,
5,0,5,20,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
5,0,5,21,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
5,0,5,22,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
5,0,5,23,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
5,0,5,20,1,Dirt_01,94.47,3,Dirt_01,94.47,Rock_01,4.75,SeaBed_01,0.78,,,,,,,,
5,0,5,21,1,Dirt_01,99.22,2,Dirt_01,99.22,SeaBed_01,0.78,,,,,,,,,,
5,0,5,22,1,Dirt_01,99.22,2,Dirt_01,99.22,SeaBed_01,0.78,,,,,,,,,,
5,0,5,23,1,Dirt_01,99.22,2,Dirt_01,99.22,SeaBed_01,0.78,,,,,,,,,,
5,0,5,20,2,Dirt_01,69.72,3,Dirt_01,69.72,Rock_01,27.14,Grass_03,3.14,,,,,,,,
5,0,5,21,2,Dirt_01,75.46,3,Dirt_01,75.46,Rock_01,23.83,Grass_03,0.71,,,,,,,,
5,0,5,22,2,Dirt_01,75.43,2,Dirt_01,75.43,Rock_01,24.53,,,,,,,,,,
5,0,5,23,2,Dirt_01,68.54,2,Dirt_01,68.54,Rock_01,31.46,,,,,,,,,,
5,0,5,20,3,Dirt_01,64.18,3,Dirt_01,64.18,Grass_03,25.28,Rock_01,10.54,,,,,,,,
5,0,5,21,3,Dirt_01,66.49,3,Dirt_01,66.49,Grass_03,20.48,Rock_01,13.03,,,,,,,,
5,0,5,22,3,Dirt_01,70.36,3,Dirt_01,70.36,Grass_03,15.86,Rock_01,13.79,,,,,,,,
5,0,5,23,3,Dirt_01,68.73,3,Dirt_01,68.73,Grass_03,15.95,Rock_01,15.32,,,,,,,,
6,0,6,24,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
6,0,6,25,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
6,0,6,26,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
6,0,6,27,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
6,0,6,24,1,Dirt_01,99.22,2,Dirt_01,99.22,SeaBed_01,0.78,,,,,,,,,,
6,0,6,25,1,Dirt_01,94.28,3,Dirt_01,94.28,Rock_01,4.94,SeaBed_01,0.78,,,,,,,,
6,0,6,26,1,Dirt_01,98.61,3,Dirt_01,98.61,SeaBed_01,0.78,Rock_01,0.61,,,,,,,,
6,0,6,27,1,Dirt_01,88.13,3,Dirt_01,88.13,Rock_01,11.09,SeaBed_01,0.78,,,,,,,,
6,0,6,24,2,Dirt_01,64.31,2,Dirt_01,64.31,Rock_01,35.69,,,,,,,,,,
6,0,6,25,2,Dirt_01,59.77,2,Dirt_01,59.77,Rock_01,39.79,,,,,,,,,,
6,0,6,26,2,Dirt_01,59.03,3,Dirt_01,59.03,Rock_01,34.47,Grass_03,6.5,,,,,,,,
6,0,6,27,2,Dirt_01,70.3,3,Dirt_01,70.3,Rock_01,15.19,Grass_03,14.51,,,,,,,,
6,0,6,24,3,Dirt_01,66.72,3,Dirt_01,66.72,Grass_03,18.05,Rock_01,15.23,,,,,,,,
6,0,6,25,3,Dirt_01,69.93,3,Dirt_01,69.93,Grass_03,21.55,Rock_01,8.52,,,,,,,,
6,0,6,26,3,Dirt_01,69.65,3,Dirt_01,69.65,Grass_03,27.76,Rock_01,2.59,,,,,,,,
6,0,6,27,3,Dirt_01,64.6,3,Dirt_01,64.6,Grass_03,30.34,Rock_01,5.05,,,,,,,,
7,0,7,28,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
7,0,7,29,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
7,0,7,30,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
7,0,7,31,0,SeaBed_01,95.59,2,SeaBed_01,95.59,Rock_01,4.41,,,,,,,,,,
7,0,7,28,1,Dirt_01,77.55,3,Dirt_01,77.55,Rock_01,21.67,SeaBed_01,0.78,,,,,,,,
7,0,7,29,1,Dirt_01,70.4,3,Dirt_01,70.4,Rock_01,28.82,SeaBed_01,0.78,,,,,,,,
7,0,7,30,1,Dirt_01,68.87,3,Dirt_01,68.87,Rock_01,30.15,SeaBed_01,0.81,,,,,,,,
7,0,7,31,1,Dirt_01,62.41,4,Dirt_01,62.41,Rock_01,31.3,Grass_03,5.62,SeaBed_01,0.67,,,,,,
7,0,7,28,2,Dirt_01,56.25,3,Dirt_01,56.25,Rock_01,27.53,Grass_03,16.22,,,,,,,,
7,0,7,29,2,Dirt_01,43.18,3,Dirt_01,43.18,Rock_01,40.26,Grass_03,16.56,,,,,,,,
7,0,7,30,2,Rock_01,47.29,3,Rock_01,47.29,Dirt_01,38.38,Grass_03,14.33,,,,,,,,
7,0,7,31,2,Rock_01,49.35,3,Rock_01,49.35,Dirt_01,33.62,Grass_03,17.03,,,,,,,,
7,0,7,28,3,Dirt_01,60.23,3,Dirt_01,60.23,Grass_03,33.76,Rock_01,6.01,,,,,,,,
7,0,7,29,3,Dirt_01,53.07,3,Dirt_01,53.07,Grass_03,34.6,Rock_01,12.33,,,,,,,,
7,0,7,30,3,Dirt_01,46.04,3,Dirt_01,46.04,Grass_03,35.85,Rock_01,18.11,,,,,,,,
7,0,7,31,3,Dirt_01,45.0,3,Dirt_01,45.0,Grass_03,40.95,Rock_01,14.05,,,,,,,,
8,0,8,32,0,SeaBed_01,87.19,2,SeaBed_01,87.19,Rock_01,12.81,,,,,,,,,,
8,0,8,33,0,SeaBed_01,81.8,2,SeaBed_01,81.8,Rock_01,18.2,,,,,,,,,,
8,0,8,34,0,SeaBed_01,72.47,2,SeaBed_01,72.47,Rock_01,27.5,,,,,,,,,,
8,0,8,35,0,SeaBed_01,66.49,2,SeaBed_01,66.49,Rock_01,33.51,,,,,,,,,,
8,0,8,32,1,Rock_01,44.2,4,Rock_01,44.2,Dirt_01,44.14,Grass_03,10.95,SeaBed_01,0.7,,,,,,
8,0,8,33,1,Dirt_01,44.23,4,Dirt_01,44.23,Rock_01,43.16,Grass_03,11.8,SeaBed_01,0.81,,,,,,
8,0,8,34,1,Rock_01,43.35,4,Rock_01,43.35,Dirt_01,40.02,Grass_03,15.44,SeaBed_01,1.19,,,,,,
8,0,8,35,1,Dirt_01,41.33,4,Dirt_01,41.33,Rock_01,36.35,Grass_03,21.58,SeaBed_01,0.74,,,,,,
8,0,8,32,2,Dirt_01,38.82,3,Dirt_01,38.82,Rock_01,33.24,Grass_03,27.94,,,,,,,,
8,0,8,33,2,Dirt_01,40.06,3,Dirt_01,40.06,Grass_03,30.99,Rock_01,28.95,,,,,,,,
8,0,8,34,2,Dirt_01,40.14,3,Dirt_01,40.14,Grass_03,33.13,Rock_01,26.73,,,,,,,,
8,0,8,35,2,Dirt_01,41.28,3,Dirt_01,41.28,Grass_03,35.96,Rock_01,22.76,,,,,,,,
8,0,8,32,3,Grass_03,43.91,3,Grass_03,43.91,Dirt_01,43.06,Rock_01,13.02,,,,,,,,
8,0,8,33,3,Grass_03,49.89,3,Grass_03,49.89,Dirt_01,46.92,Rock_01,3.2,,,,,,,,
8,0,8,34,3,Grass_03,52.62,2,Grass_03,52.62,Dirt_01,47.38,,,,,,,,,,
8,0,8,35,3,Grass_03,53.26,2,Grass_03,53.26,Dirt_01,46.74,,,,,,,,,,
9,0,9,36,0,SeaBed_01,69.76,2,SeaBed_01,69.76,Rock_01,30.12,,,,,,,,,,
9,0,9,37,0,SeaBed_01,90.65,2,SeaBed_01,90.65,Rock_01,9.35,,,,,,,,,,
9,0,9,38,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
9,0,9,39,0,SeaBed_01,99.1,2,SeaBed_01,99.1,Rock_01,0.81,,,,,,,,,,
9,0,9,36,1,Rock_01,48.38,4,Rock_01,48.38,Dirt_01,34.67,Grass_03,16.0,SeaBed_01,0.95,,,,,,
9,0,9,37,1,Rock_01,72.25,4,Rock_01,72.25,Dirt_01,19.8,Grass_03,5.12,SeaBed_01,2.82,,,,,,
9,0,9,38,1,Rock_01,64.14,4,Rock_01,64.14,SeaBed_01,23.67,Dirt_01,11.04,Grass_03,1.16,,,,,,
9,0,9,39,1,Rock_01,66.71,4,Rock_01,66.71,SeaBed_01,18.44,Dirt_01,13.74,Grass_03,1.11,,,,,,
9,0,9,36,2,Dirt_01,41.83,3,Dirt_01,41.83,Grass_03,36.83,Rock_01,21.34,,,,,,,,
9,0,9,37,2,Rock_01,35.26,3,Rock_01,35.26,Dirt_01,35.04,Grass_03,29.7,,,,,,,,
9,0,9,38,2,Rock_01,48.96,3,Rock_01,48.96,Dirt_01,28.8,Grass_03,22.23,,,,,,,,
9,0,9,39,2,Dirt_01,35.98,3,Dirt_01,35.98,Rock_01,32.48,Grass_03,31.54,,,,,,,,
9,0,9,36,3,Grass_03,53.68,2,Grass_03,53.68,Dirt_01,46.32,,,,,,,,,,
9,0,9,37,3,Grass_03,53.7,2,Grass_03,53.7,Dirt_01,46.3,,,,,,,,,,
9,0,9,38,3,Grass_03,53.63,2,Grass_03,53.63,Dirt_01,46.37,,,,,,,,,,
9,0,9,39,3,Grass_03,53.73,2,Grass_03,53.73,Dirt_01,46.27,,,,,,,,,,
10,0,10,40,0,SeaBed_01,47.15,3,SeaBed_01,47.15,Rock_01,39.52,Dirt_01,13.34,,,,,,,,
10,0,10,41,0,SeaBed_01,64.9,3,SeaBed_01,64.9,Dirt_01,20.14,Rock_01,14.92,,,,,,,,
10,0,10,42,0,SeaBed_01,96.21,2,SeaBed_01,96.21,Rock_01,3.42,,,,,,,,,,
10,0,10,43,0,SeaBed_01,97.41,2,SeaBed_01,97.41,Dirt_01,2.59,,,,,,,,,,
10,0,10,40,1,Rock_01,62.01,3,Rock_01,62.01,Dirt_01,25.05,Grass_03,12.94,,,,,,,,
10,0,10,41,1,Rock_01,72.34,3,Rock_01,72.34,Dirt_01,22.99,Grass_03,4.67,,,,,,,,
10,0,10,42,1,Rock_01,48.75,4,Rock_01,48.75,Dirt_01,42.27,SeaBed_01,7.45,Grass_03,1.54,,,,,,
10,0,10,43,1,SeaBed_01,38.69,3,SeaBed_01,38.69,Dirt_01,36.56,Rock_01,24.62,,,,,,,,
10,0,10,40,2,Dirt_01,46.02,3,Dirt_01,46.02,Grass_03,44.15,Rock_01,9.83,,,,,,,,
10,0,10,41,2,Rock_01,48.57,3,Rock_01,48.57,Dirt_01,28.98,Grass_03,22.45,,,,,,,,
10,0,10,42,2,Rock_01,61.74,3,Rock_01,61.74,Dirt_01,27.27,Grass_03,10.99,,,,,,,,
10,0,10,43,2,Dirt_01,50.06,3,Dirt_01,50.06,Rock_01,37.4,Grass_03,12.55,,,,,,,,
10,0,10,40,3,Grass_03,53.8,2,Grass_03,53.8,Dirt_01,46.2,,,,,,,,,,
10,0,10,41,3,Grass_03,50.25,3,Grass_03,50.25,Dirt_01,44.81,Rock_01,4.93,,,,,,,,
10,0,10,42,3,Rock_01,55.57,3,Rock_01,55.57,Dirt_01,24.27,Grass_03,20.16,,,,,,,,
10,0,10,43,3,Rock_01,53.57,3,Rock_01,53.57,Dirt_01,30.32,Grass_03,16.11,,,,,,,,
11,0,11,44,0,SeaBed_01,99.97,1,SeaBed_01,99.97,,,,,,,,,,,,
11,0,11,45,0,Rock_01,57.54,2,Rock_01,57.54,SeaBed_01,42.46,,,,,,,,,,
11,0,11,46,0,SeaBed_01,98.3,2,SeaBed_01,98.3,Grass_03,1.69,,,,,,,,,,
11,0,11,47,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
11,0,11,44,1,SeaBed_01,88.59,3,SeaBed_01,88.59,Dirt_01,9.83,Rock_01,1.58,,,,,,,,
11,0,11,45,1,SeaBed_01,51.66,3,SeaBed_01,51.66,Rock_01,41.08,Dirt_01,7.26,,,,,,,,
11,0,11,46,1,SeaBed_01,71.35,2,SeaBed_01,71.35,Rock_01,28.65,,,,,,,,,,
11,0,11,47,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
11,0,11,44,2,Dirt_01,61.65,4,Dirt_01,61.65,Rock_01,27.67,SeaBed_01,9.74,Grass_03,0.94,,,,,,
11,0,11,45,2,Dirt_01,45.3,3,Dirt_01,45.3,SeaBed_01,37.96,Rock_01,16.74,,,,,,,,
11,0,11,46,2,SeaBed_01,52.92,3,SeaBed_01,52.92,Rock_01,45.46,Dirt_01,1.62,,,,,,,,
11,0,11,47,2,SeaBed_01,50.44,2,SeaBed_01,50.44,Rock_01,49.56,,,,,,,,,,
11,0,11,44,3,Rock_01,43.59,3,Rock_01,43.59,Dirt_01,42.62,Grass_03,13.78,,,,,,,,
11,0,11,45,3,Dirt_01,51.26,3,Dirt_01,51.26,Rock_01,43.58,Grass_03,5.17,,,,,,,,
11,0,11,46,3,Dirt_01,60.82,2,Dirt_01,60.82,Rock_01,39.17,,,,,,,,,,
11,0,11,47,3,SeaBed_01,81.03,3,SeaBed_01,81.03,Rock_01,17.92,Dirt_01,1.05,,,,,,,,
12,0,12,48,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
12,0,12,49,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
12,0,12,50,0,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
12,0,12,51,0,SeaBed_01,98.3,2,SeaBed_01,98.3,Grass_03,1.7,,,,,,,,,,
12,0,12,48,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
12,0,12,49,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
12,0,12,50,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
12,0,12,51,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
12,0,12,48,2,SeaBed_01,87.95,2,SeaBed_01,87.95,Rock_01,12.05,,,,,,,,,,
12,0,12,49,2,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
12,0,12,50,2,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
12,0,12,51,2,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
12,0,12,48,3,SeaBed_01,61.26,2,SeaBed_01,61.26,Rock_01,38.74,,,,,,,,,,
12,0,12,49,3,SeaBed_01,65.28,2,SeaBed_01,65.28,Rock_01,34.72,,,,,,,,,,
12,0,12,50,3,SeaBed_01,83.61,2,SeaBed_01,83.61,Rock_01,16.39,,,,,,,,,,
12,0,12,51,3,SeaBed_01,96.78,2,SeaBed_01,96.78,Rock_01,3.22,,,,,,,,,,
13,0,13,52,0,SeaBed_01,98.29,2,SeaBed_01,98.29,Grass_03,1.71,,,,,,,,,,
13,0,13,53,0,SeaBed_01,98.29,2,SeaBed_01,98.29,Grass_03,1.71,,,,,,,,,,
13,0,13,54,0,SeaBed_01,98.29,2,SeaBed_01,98.29,Grass_03,1.71,,,,,,,,,,
13,0,13,55,0,SeaBed_01,98.29,2,SeaBed_01,98.29,Grass_03,1.71,,,,,,,,,,
13,0,13,52,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
13,0,13,53,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
13,0,13,54,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
13,0,13,55,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
13,0,13,52,2,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
13,0,13,53,2,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
13,0,13,54,2,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
13,0,13,55,2,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
13,0,13,52,3,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
13,0,13,53,3,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
13,0,13,54,3,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
13,0,13,55,3,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
14,0,14,56,0,SeaBed_01,98.29,2,SeaBed_01,98.29,Grass_03,1.71,,,,,,,,,,
14,0,14,57,0,SeaBed_01,98.29,2,SeaBed_01,98.29,Grass_03,1.71,,,,,,,,,,
14,0,14,58,0,SeaBed_01,98.29,2,SeaBed_01,98.29,Grass_03,1.71,,,,,,,,,,
14,0,14,59,0,SeaBed_01,98.29,2,SeaBed_01,98.29,Grass_03,1.71,,,,,,,,,,
14,0,14,56,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
14,0,14,57,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
14,0,14,58,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
14,0,14,59,1,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
14,0,14,56,2,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
14,0,14,57,2,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
14,0,14,58,2,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
14,0,14,59,2,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
14,0,14,56,3,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
14,0,14,57,3,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
14,0,14,58,3,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
14,0,14,59,3,SeaBed_01,100.0,1,SeaBed_01,100.0,,,,,,,,,,,,
15,0,15,60,0,SeaBed_01,98.34,2,SeaBed_01,98.34,Grass_03,1.66,,,,,,,,,,
15,0,15,61,0,SeaBed_01,98.39,2,SeaBed_01,98.39,Grass_03,1.61,,,,,,,,,,
