================================================================================
MONITEUR MÉMOIRE REFORGER WORKBENCH - 2026-06-09 13:02:04
================================================================================
Intervalle: 1.0s
GPU détecté: AMD Radeon 780M Graphics
================================================================================

[13:02:04] +   0.0s | RAM: 11.24/27.65 GB ( 40.7%) | VRAM: N/A
[13:03:32] +  87.6s | RAM: 11.80/27.65 GB ( 42.7%) | VRAM: N/A
[13:03:33] +  88.7s | RAM: 11.80/27.65 GB ( 42.7%) | VRAM: N/A
[13:03:34] +  89.7s | RAM: 11.80/27.65 GB ( 42.7%) | VRAM: N/A
[13:03:35] +  90.7s | RAM: 11.81/27.65 GB ( 42.7%) | VRAM: N/A
[13:03:36] +  91.7s | RAM: 11.82/27.65 GB ( 42.8%) | VRAM: N/A
[13:03:37] +  92.7s | RAM: 11.74/27.65 GB ( 42.4%) | VRAM: N/A
[13:03:38] +  93.8s | RAM: 11.73/27.65 GB ( 42.4%) | VRAM: N/A
[13:03:39] +  94.8s | RAM: 11.59/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:40] +  95.8s | RAM: 11.59/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:41] +  96.8s | RAM: 11.59/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:42] +  97.8s | RAM: 11.59/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:43] +  98.9s | RAM: 11.75/27.65 GB ( 42.5%) | VRAM: N/A
[13:03:44] +  99.9s | RAM: 11.59/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:45] + 100.9s | RAM: 11.59/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:46] + 101.9s | RAM: 11.59/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:47] + 103.0s | RAM: 11.58/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:48] + 104.0s | RAM: 11.59/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:49] + 105.0s | RAM: 11.62/27.65 GB ( 42.0%) | VRAM: N/A
[13:03:50] + 106.0s | RAM: 11.59/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:51] + 107.0s | RAM: 11.57/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:53] + 108.0s | RAM: 11.57/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:54] + 109.0s | RAM: 11.57/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:55] + 110.1s | RAM: 11.57/27.65 GB ( 41.8%) | VRAM: N/A
[13:03:56] + 111.1s | RAM: 11.59/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:57] + 112.1s | RAM: 11.58/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:58] + 113.1s | RAM: 11.58/27.65 GB ( 41.9%) | VRAM: N/A
[13:03:59] + 114.1s | RAM: 11.58/27.65 GB ( 41.9%) | VRAM: N/A
[13:04:00] + 115.2s | RAM: 11.58/27.65 GB ( 41.9%) | VRAM: N/A
[13:04:01] + 116.2s | RAM: 11.58/27.65 GB ( 41.9%) | VRAM: N/A
[13:04:02] + 117.2s | RAM: 11.60/27.65 GB ( 42.0%) | VRAM: N/A
[13:04:03] + 118.2s | RAM: 11.58/27.65 GB ( 41.9%) | VRAM: N/A
[13:04:04] + 119.3s | RAM: 11.58/27.65 GB ( 41.9%) | VRAM: N/A
[13:04:05] + 120.3s | RAM: 11.58/27.65 GB ( 41.9%) | VRAM: N/A
[13:04:06] + 121.3s | RAM: 11.58/27.65 GB ( 41.9%) | VRAM: N/A
[13:04:07] + 122.3s | RAM: 11.59/27.65 GB ( 41.9%) | VRAM: N/A
[13:04:08] + 123.3s | RAM: 11.95/27.65 GB ( 43.2%) | VRAM: N/A
[13:04:09] + 124.3s | RAM: 12.07/27.65 GB ( 43.6%) | VRAM: N/A
[13:04:10] + 125.3s | RAM: 11.85/27.65 GB ( 42.9%) | VRAM: N/A
[13:04:11] + 126.4s | RAM: 11.83/27.65 GB ( 42.8%) | VRAM: N/A
[13:04:12] + 127.4s | RAM: 11.83/27.65 GB ( 42.8%) | VRAM: N/A
[13:04:13] + 128.4s | RAM: 11.82/27.65 GB ( 42.8%) | VRAM: N/A
[13:04:14] + 129.4s | RAM: 11.82/27.65 GB ( 42.8%) | VRAM: N/A
[13:04:15] + 130.4s | RAM: 11.99/27.65 GB ( 43.4%) | VRAM: N/A
[13:04:16] + 131.4s | RAM: 11.81/27.65 GB ( 42.7%) | VRAM: N/A
[13:04:17] + 132.4s | RAM: 11.81/27.65 GB ( 42.7%) | VRAM: N/A
[13:04:18] + 133.4s | RAM: 11.78/27.65 GB ( 42.6%) | VRAM: N/A
[13:04:19] + 134.4s | RAM: 11.78/27.65 GB ( 42.6%) | VRAM: N/A
[13:04:20] + 135.4s | RAM: 11.70/27.65 GB ( 42.3%) | VRAM: N/A
[13:04:21] + 136.4s | RAM: 11.82/27.65 GB ( 42.8%) | VRAM: N/A
[13:04:22] + 137.5s | RAM: 11.89/27.65 GB ( 43.0%) | VRAM: N/A
[13:04:23] + 138.5s | RAM: 12.38/27.65 GB ( 44.8%) | VRAM: N/A
[13:04:24] + 139.5s | RAM: 12.39/27.65 GB ( 44.8%) | VRAM: N/A
[13:04:25] + 140.5s | RAM: 12.45/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:26] + 141.5s | RAM: 12.45/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:27] + 142.6s | RAM: 12.49/27.65 GB ( 45.2%) | VRAM: N/A
[13:04:28] + 143.6s | RAM: 12.60/27.65 GB ( 45.6%) | VRAM: N/A
[13:04:29] + 144.6s | RAM: 12.60/27.65 GB ( 45.6%) | VRAM: N/A
[13:04:30] + 145.6s | RAM: 12.60/27.65 GB ( 45.6%) | VRAM: N/A
[13:04:31] + 146.6s | RAM: 12.60/27.65 GB ( 45.6%) | VRAM: N/A
[13:04:32] + 147.7s | RAM: 12.61/27.65 GB ( 45.6%) | VRAM: N/A
[13:04:33] + 148.7s | RAM: 12.62/27.65 GB ( 45.7%) | VRAM: N/A
[13:04:34] + 149.7s | RAM: 12.78/27.65 GB ( 46.2%) | VRAM: N/A
[13:04:35] + 150.7s | RAM: 12.61/27.65 GB ( 45.6%) | VRAM: N/A
[13:04:36] + 151.7s | RAM: 12.61/27.65 GB ( 45.6%) | VRAM: N/A
[13:04:37] + 152.8s | RAM: 12.58/27.65 GB ( 45.5%) | VRAM: N/A
[13:04:38] + 153.8s | RAM: 12.57/27.65 GB ( 45.5%) | VRAM: N/A
[13:04:39] + 154.8s | RAM: 12.44/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:40] + 155.8s | RAM: 12.60/27.65 GB ( 45.6%) | VRAM: N/A
[13:04:41] + 156.8s | RAM: 12.44/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:42] + 157.8s | RAM: 12.43/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:43] + 158.9s | RAM: 12.43/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:44] + 159.9s | RAM: 12.44/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:45] + 160.9s | RAM: 12.44/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:46] + 161.9s | RAM: 12.46/27.65 GB ( 45.1%) | VRAM: N/A
[13:04:47] + 163.0s | RAM: 12.44/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:48] + 164.0s | RAM: 12.44/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:49] + 165.0s | RAM: 12.44/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:50] + 166.0s | RAM: 12.45/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:52] + 167.1s | RAM: 12.45/27.65 GB ( 45.0%) | VRAM: N/A
[13:04:53] + 168.1s | RAM: 12.47/27.65 GB ( 45.1%) | VRAM: N/A
[13:04:54] + 169.1s | RAM: 12.51/27.65 GB ( 45.2%) | VRAM: N/A
[13:04:55] + 170.1s | RAM: 12.52/27.65 GB ( 45.3%) | VRAM: N/A
[13:04:56] + 171.1s | RAM: 12.53/27.65 GB ( 45.3%) | VRAM: N/A
[13:04:57] + 172.2s | RAM: 12.53/27.65 GB ( 45.3%) | VRAM: N/A
[13:04:58] + 173.2s | RAM: 12.55/27.65 GB ( 45.4%) | VRAM: N/A
[13:04:59] + 174.2s | RAM: 12.60/27.65 GB ( 45.6%) | VRAM: N/A
[13:05:00] + 175.3s | RAM: 12.66/27.65 GB ( 45.8%) | VRAM: N/A
[13:05:01] + 176.3s | RAM: 12.89/27.65 GB ( 46.6%) | VRAM: N/A
[13:05:02] + 177.3s | RAM: 12.89/27.65 GB ( 46.6%) | VRAM: N/A
[13:05:03] + 178.3s | RAM: 12.98/27.65 GB ( 46.9%) | VRAM: N/A
[13:05:04] + 179.4s | RAM: 12.99/27.65 GB ( 47.0%) | VRAM: N/A
[13:05:05] + 180.4s | RAM: 12.59/27.65 GB ( 45.5%) | VRAM: N/A
[13:05:06] + 181.4s | RAM: 12.76/27.65 GB ( 46.1%) | VRAM: N/A
[13:05:07] + 182.4s | RAM: 12.59/27.65 GB ( 45.5%) | VRAM: N/A
[13:05:08] + 183.5s | RAM: 12.87/27.65 GB ( 46.5%) | VRAM: N/A
[13:05:09] + 184.5s | RAM: 12.88/27.65 GB ( 46.6%) | VRAM: N/A
[13:05:10] + 185.5s | RAM: 12.85/27.65 GB ( 46.5%) | VRAM: N/A
[13:05:11] + 186.5s | RAM: 12.83/27.65 GB ( 46.4%) | VRAM: N/A
[13:05:12] + 187.6s | RAM: 13.00/27.65 GB ( 47.0%) | VRAM: N/A
[13:05:13] + 188.6s | RAM: 12.84/27.65 GB ( 46.4%) | VRAM: N/A
[13:05:14] + 189.6s | RAM: 12.85/27.65 GB ( 46.5%) | VRAM: N/A
[13:05:15] + 190.6s | RAM: 12.85/27.65 GB ( 46.5%) | VRAM: N/A
[13:05:16] + 191.7s | RAM: 12.86/27.65 GB ( 46.5%) | VRAM: N/A
[13:05:17] + 192.7s | RAM: 12.86/27.65 GB ( 46.5%) | VRAM: N/A
[13:05:18] + 193.7s | RAM: 12.89/27.65 GB ( 46.6%) | VRAM: N/A
[13:05:19] + 194.7s | RAM: 12.87/27.65 GB ( 46.6%) | VRAM: N/A
[13:05:20] + 195.7s | RAM: 12.86/27.65 GB ( 46.5%) | VRAM: N/A
[13:05:21] + 196.7s | RAM: 12.87/27.65 GB ( 46.5%) | VRAM: N/A
[13:05:22] + 197.7s | RAM: 13.00/27.65 GB ( 47.0%) | VRAM: N/A
[13:05:23] + 198.7s | RAM: 13.24/27.65 GB ( 47.9%) | VRAM: N/A
[13:05:24] + 199.8s | RAM: 13.54/27.65 GB ( 49.0%) | VRAM: N/A
[13:05:25] + 200.8s | RAM: 13.74/27.65 GB ( 49.7%) | VRAM: N/A
[13:05:26] + 201.8s | RAM: 13.57/27.65 GB ( 49.1%) | VRAM: N/A
[13:05:27] + 202.8s | RAM: 13.67/27.65 GB ( 49.4%) | VRAM: N/A
[13:05:28] + 203.9s | RAM: 13.70/27.65 GB ( 49.6%) | VRAM: N/A
[13:05:29] + 204.9s | RAM: 13.70/27.65 GB ( 49.6%) | VRAM: N/A
[13:05:30] + 205.9s | RAM: 13.72/27.65 GB ( 49.6%) | VRAM: N/A
[13:05:31] + 206.9s | RAM: 13.73/27.65 GB ( 49.7%) | VRAM: N/A
[13:05:32] + 207.9s | RAM: 13.73/27.65 GB ( 49.7%) | VRAM: N/A
[13:05:33] + 208.9s | RAM: 13.70/27.65 GB ( 49.5%) | VRAM: N/A
[13:05:34] + 210.0s | RAM: 13.66/27.65 GB ( 49.4%) | VRAM: N/A
[13:05:35] + 211.0s | RAM: 13.66/27.65 GB ( 49.4%) | VRAM: N/A
[13:05:36] + 212.0s | RAM: 13.49/27.65 GB ( 48.8%) | VRAM: N/A
[13:05:37] + 213.0s | RAM: 13.58/27.65 GB ( 49.1%) | VRAM: N/A
[13:05:38] + 214.0s | RAM: 13.41/27.65 GB ( 48.5%) | VRAM: N/A
[13:05:39] + 215.0s | RAM: 13.26/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:41] + 216.1s | RAM: 13.26/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:42] + 217.1s | RAM: 13.26/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:43] + 218.1s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:44] + 219.1s | RAM: 13.31/27.65 GB ( 48.1%) | VRAM: N/A
[13:05:45] + 220.1s | RAM: 13.28/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:46] + 221.1s | RAM: 13.28/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:47] + 222.1s | RAM: 13.28/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:48] + 223.1s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:49] + 224.2s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:50] + 225.2s | RAM: 13.29/27.65 GB ( 48.1%) | VRAM: N/A
[13:05:51] + 226.2s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:52] + 227.2s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:53] + 228.2s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:54] + 229.2s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:55] + 230.3s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:56] + 231.3s | RAM: 13.29/27.65 GB ( 48.1%) | VRAM: N/A
[13:05:57] + 232.3s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:58] + 233.3s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[13:05:59] + 234.3s | RAM: 13.26/27.65 GB ( 48.0%) | VRAM: N/A
[13:06:00] + 235.3s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[13:06:01] + 236.3s | RAM: 13.28/27.65 GB ( 48.0%) | VRAM: N/A
[13:06:02] + 237.3s | RAM: 13.28/27.65 GB ( 48.0%) | VRAM: N/A
[13:06:03] + 238.4s | RAM: 13.46/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:04] + 239.4s | RAM: 13.28/27.65 GB ( 48.1%) | VRAM: N/A
[13:06:05] + 240.4s | RAM: 13.28/27.65 GB ( 48.0%) | VRAM: N/A
[13:06:06] + 241.4s | RAM: 13.29/27.65 GB ( 48.1%) | VRAM: N/A
[13:06:07] + 242.4s | RAM: 13.29/27.65 GB ( 48.1%) | VRAM: N/A
[13:06:08] + 243.4s | RAM: 13.54/27.65 GB ( 49.0%) | VRAM: N/A
[13:06:09] + 244.5s | RAM: 13.55/27.65 GB ( 49.0%) | VRAM: N/A
[13:06:10] + 245.5s | RAM: 13.48/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:11] + 246.5s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:12] + 247.5s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:13] + 248.5s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:14] + 249.5s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:15] + 250.6s | RAM: 13.49/27.65 GB ( 48.8%) | VRAM: N/A
[13:06:16] + 251.6s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:17] + 252.6s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:18] + 253.6s | RAM: 13.46/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:19] + 254.6s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:20] + 255.6s | RAM: 13.46/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:21] + 256.6s | RAM: 13.48/27.65 GB ( 48.8%) | VRAM: N/A
[13:06:22] + 257.7s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:23] + 258.7s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:24] + 259.7s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:25] + 260.7s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:26] + 261.7s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:27] + 262.7s | RAM: 13.48/27.65 GB ( 48.8%) | VRAM: N/A
[13:06:28] + 263.7s | RAM: 13.64/27.65 GB ( 49.3%) | VRAM: N/A
[13:06:29] + 264.8s | RAM: 13.48/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:30] + 265.8s | RAM: 13.48/27.65 GB ( 48.8%) | VRAM: N/A
[13:06:31] + 266.8s | RAM: 13.48/27.65 GB ( 48.8%) | VRAM: N/A
[13:06:32] + 267.8s | RAM: 13.48/27.65 GB ( 48.8%) | VRAM: N/A
[13:06:33] + 268.8s | RAM: 13.48/27.65 GB ( 48.8%) | VRAM: N/A
[13:06:34] + 269.9s | RAM: 13.51/27.65 GB ( 48.9%) | VRAM: N/A
[13:06:35] + 270.9s | RAM: 13.49/27.65 GB ( 48.8%) | VRAM: N/A
[13:06:36] + 271.9s | RAM: 13.49/27.65 GB ( 48.8%) | VRAM: N/A
[13:06:37] + 272.9s | RAM: 13.45/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:38] + 273.9s | RAM: 13.46/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:39] + 274.9s | RAM: 13.32/27.65 GB ( 48.2%) | VRAM: N/A
[13:06:40] + 275.9s | RAM: 13.34/27.65 GB ( 48.2%) | VRAM: N/A
[13:06:41] + 277.0s | RAM: 13.33/27.65 GB ( 48.2%) | VRAM: N/A
[13:06:42] + 278.0s | RAM: 13.33/27.65 GB ( 48.2%) | VRAM: N/A
[13:06:43] + 279.0s | RAM: 13.33/27.65 GB ( 48.2%) | VRAM: N/A
[13:06:44] + 280.0s | RAM: 13.32/27.65 GB ( 48.2%) | VRAM: N/A
[13:06:45] + 281.0s | RAM: 13.32/27.65 GB ( 48.2%) | VRAM: N/A
[13:06:46] + 282.0s | RAM: 13.34/27.65 GB ( 48.3%) | VRAM: N/A
[13:06:47] + 283.0s | RAM: 13.33/27.65 GB ( 48.2%) | VRAM: N/A
[13:06:49] + 284.0s | RAM: 13.33/27.65 GB ( 48.2%) | VRAM: N/A
[13:06:50] + 285.1s | RAM: 13.29/27.65 GB ( 48.1%) | VRAM: N/A
[13:06:51] + 286.1s | RAM: 13.29/27.65 GB ( 48.1%) | VRAM: N/A
[13:06:52] + 287.1s | RAM: 13.29/27.65 GB ( 48.1%) | VRAM: N/A
[13:06:53] + 288.1s | RAM: 13.30/27.65 GB ( 48.1%) | VRAM: N/A
[13:06:54] + 289.1s | RAM: 13.46/27.65 GB ( 48.7%) | VRAM: N/A
[13:06:55] + 290.1s | RAM: 13.30/27.65 GB ( 48.1%) | VRAM: N/A
[13:06:56] + 291.1s | RAM: 13.29/27.65 GB ( 48.1%) | VRAM: N/A
[13:06:57] + 292.1s | RAM: 13.26/27.65 GB ( 48.0%) | VRAM: N/A
[13:06:58] + 293.1s | RAM: 13.25/27.65 GB ( 47.9%) | VRAM: N/A
[13:06:59] + 294.2s | RAM: 13.24/27.65 GB ( 47.9%) | VRAM: N/A
[13:07:00] + 295.2s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[13:07:01] + 296.2s | RAM: 13.24/27.65 GB ( 47.9%) | VRAM: N/A
