================================================================================
MONITEUR MÉMOIRE REFORGER WORKBENCH - 2026-06-09 12:47:05
================================================================================
Intervalle: 1.0s
GPU détecté: AMD Radeon 780M Graphics
================================================================================

[12:47:06] +   0.2s | RAM: 11.38/27.65 GB ( 41.2%) | VRAM: N/A
[12:48:03] +  57.3s | RAM: 13.31/27.65 GB ( 48.2%) | VRAM: N/A
[12:48:04] +  58.4s | RAM: 13.31/27.65 GB ( 48.2%) | VRAM: N/A
[12:48:05] +  59.4s | RAM: 13.32/27.65 GB ( 48.2%) | VRAM: N/A
[12:48:06] +  60.4s | RAM: 13.31/27.65 GB ( 48.2%) | VRAM: N/A
[12:48:07] +  61.4s | RAM: 13.32/27.65 GB ( 48.2%) | VRAM: N/A
[12:48:08] +  62.4s | RAM: 13.48/27.65 GB ( 48.8%) | VRAM: N/A
[12:48:09] +  63.4s | RAM: 13.31/27.65 GB ( 48.1%) | VRAM: N/A
[12:48:10] +  64.4s | RAM: 13.31/27.65 GB ( 48.1%) | VRAM: N/A
[12:48:11] +  65.4s | RAM: 13.31/27.65 GB ( 48.1%) | VRAM: N/A
[12:48:12] +  66.5s | RAM: 13.31/27.65 GB ( 48.1%) | VRAM: N/A
[12:48:13] +  67.5s | RAM: 13.31/27.65 GB ( 48.1%) | VRAM: N/A
[12:48:14] +  68.5s | RAM: 13.29/27.65 GB ( 48.1%) | VRAM: N/A
[12:48:15] +  69.5s | RAM: 13.26/27.65 GB ( 47.9%) | VRAM: N/A
[12:48:16] +  70.5s | RAM: 13.25/27.65 GB ( 47.9%) | VRAM: N/A
[12:48:17] +  71.5s | RAM: 13.25/27.65 GB ( 47.9%) | VRAM: N/A
[12:48:18] +  72.6s | RAM: 13.25/27.65 GB ( 47.9%) | VRAM: N/A
[12:48:19] +  73.6s | RAM: 13.25/27.65 GB ( 47.9%) | VRAM: N/A
[12:48:20] +  74.6s | RAM: 13.28/27.65 GB ( 48.0%) | VRAM: N/A
[12:48:21] +  75.6s | RAM: 13.26/27.65 GB ( 48.0%) | VRAM: N/A
[12:48:22] +  76.6s | RAM: 13.26/27.65 GB ( 48.0%) | VRAM: N/A
[12:48:23] +  77.6s | RAM: 13.26/27.65 GB ( 48.0%) | VRAM: N/A
[12:48:24] +  78.6s | RAM: 13.26/27.65 GB ( 47.9%) | VRAM: N/A
[12:48:25] +  79.7s | RAM: 13.25/27.65 GB ( 47.9%) | VRAM: N/A
[12:48:26] +  80.7s | RAM: 13.27/27.65 GB ( 48.0%) | VRAM: N/A
[12:48:27] +  81.7s | RAM: 13.44/27.65 GB ( 48.6%) | VRAM: N/A
[12:48:28] +  82.7s | RAM: 13.28/27.65 GB ( 48.0%) | VRAM: N/A
[12:48:29] +  83.7s | RAM: 13.20/27.65 GB ( 47.8%) | VRAM: N/A
[12:48:30] +  84.7s | RAM: 13.20/27.65 GB ( 47.7%) | VRAM: N/A
[12:48:31] +  85.7s | RAM: 13.06/27.65 GB ( 47.3%) | VRAM: N/A
[12:48:32] +  86.8s | RAM: 13.06/27.65 GB ( 47.2%) | VRAM: N/A
[12:48:33] +  87.8s | RAM: 13.10/27.65 GB ( 47.4%) | VRAM: N/A
[12:48:34] +  88.8s | RAM: 13.07/27.65 GB ( 47.3%) | VRAM: N/A
[12:48:35] +  89.8s | RAM: 13.07/27.65 GB ( 47.3%) | VRAM: N/A
[12:48:36] +  90.8s | RAM: 13.07/27.65 GB ( 47.3%) | VRAM: N/A
[12:48:37] +  91.8s | RAM: 13.09/27.65 GB ( 47.4%) | VRAM: N/A
[12:48:38] +  92.8s | RAM: 13.09/27.65 GB ( 47.4%) | VRAM: N/A
[12:48:39] +  93.8s | RAM: 13.11/27.65 GB ( 47.4%) | VRAM: N/A
[12:48:40] +  94.9s | RAM: 13.10/27.65 GB ( 47.4%) | VRAM: N/A
[12:48:41] +  95.9s | RAM: 13.07/27.65 GB ( 47.3%) | VRAM: N/A
[12:48:42] +  96.9s | RAM: 13.06/27.65 GB ( 47.2%) | VRAM: N/A
[12:48:43] +  97.9s | RAM: 13.06/27.65 GB ( 47.2%) | VRAM: N/A
[12:48:44] +  98.9s | RAM: 13.06/27.65 GB ( 47.2%) | VRAM: N/A
[12:48:45] +  99.9s | RAM: 13.07/27.65 GB ( 47.3%) | VRAM: N/A
[12:48:46] + 101.0s | RAM: 13.07/27.65 GB ( 47.3%) | VRAM: N/A
[12:48:47] + 102.0s | RAM: 13.06/27.65 GB ( 47.2%) | VRAM: N/A
[12:48:48] + 103.0s | RAM: 13.06/27.65 GB ( 47.2%) | VRAM: N/A
[12:48:49] + 104.0s | RAM: 13.06/27.65 GB ( 47.3%) | VRAM: N/A
[12:48:50] + 105.0s | RAM: 13.07/27.65 GB ( 47.3%) | VRAM: N/A
[12:48:51] + 106.0s | RAM: 13.08/27.65 GB ( 47.3%) | VRAM: N/A
[12:48:52] + 107.1s | RAM: 13.34/27.65 GB ( 48.2%) | VRAM: N/A
[12:48:53] + 108.1s | RAM: 13.67/27.65 GB ( 49.5%) | VRAM: N/A
[12:48:54] + 109.1s | RAM: 14.10/27.65 GB ( 51.0%) | VRAM: N/A
[12:48:58] + 112.8s | RAM: 16.66/27.65 GB ( 60.2%) | VRAM: N/A
[12:48:59] + 113.8s | RAM: 18.96/27.65 GB ( 68.6%) | VRAM: N/A
[12:49:00] + 114.8s | RAM: 20.97/27.65 GB ( 75.8%) | VRAM: N/A
[12:49:01] + 115.8s | RAM: 20.74/27.65 GB ( 75.0%) | VRAM: N/A
[12:49:02] + 116.9s | RAM: 13.53/27.65 GB ( 48.9%) | VRAM: N/A
[12:49:03] + 117.9s | RAM: 13.49/27.65 GB ( 48.8%) | VRAM: N/A
[12:49:04] + 118.9s | RAM: 13.49/27.65 GB ( 48.8%) | VRAM: N/A
[12:49:05] + 119.9s | RAM: 13.34/27.65 GB ( 48.3%) | VRAM: N/A
[12:49:06] + 120.9s | RAM: 13.29/27.65 GB ( 48.1%) | VRAM: N/A
[12:49:07] + 121.9s | RAM: 13.38/27.65 GB ( 48.4%) | VRAM: N/A
[12:49:08] + 122.9s | RAM: 13.42/27.65 GB ( 48.5%) | VRAM: N/A
[12:49:09] + 124.0s | RAM: 13.46/27.65 GB ( 48.7%) | VRAM: N/A
[12:49:10] + 125.0s | RAM: 13.49/27.65 GB ( 48.8%) | VRAM: N/A
[12:49:11] + 126.0s | RAM: 13.54/27.65 GB ( 49.0%) | VRAM: N/A
[12:49:12] + 127.0s | RAM: 14.10/27.65 GB ( 51.0%) | VRAM: N/A
[12:49:13] + 128.0s | RAM: 13.99/27.65 GB ( 50.6%) | VRAM: N/A
[12:49:14] + 129.0s | RAM: 13.92/27.65 GB ( 50.3%) | VRAM: N/A
[12:49:15] + 130.1s | RAM: 13.85/27.65 GB ( 50.1%) | VRAM: N/A
[12:49:16] + 131.1s | RAM: 13.79/27.65 GB ( 49.9%) | VRAM: N/A
[12:49:17] + 132.1s | RAM: 13.76/27.65 GB ( 49.8%) | VRAM: N/A
[12:49:18] + 133.1s | RAM: 13.74/27.65 GB ( 49.7%) | VRAM: N/A
[12:49:19] + 134.1s | RAM: 13.63/27.65 GB ( 49.3%) | VRAM: N/A
[12:49:20] + 135.2s | RAM: 13.59/27.65 GB ( 49.2%) | VRAM: N/A
[12:49:21] + 136.2s | RAM: 13.58/27.65 GB ( 49.1%) | VRAM: N/A
[12:49:23] + 137.2s | RAM: 13.53/27.65 GB ( 48.9%) | VRAM: N/A
[12:49:24] + 138.2s | RAM: 13.48/27.65 GB ( 48.8%) | VRAM: N/A
[12:49:25] + 139.2s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[12:49:26] + 140.2s | RAM: 13.41/27.65 GB ( 48.5%) | VRAM: N/A
[12:49:27] + 141.2s | RAM: 13.41/27.65 GB ( 48.5%) | VRAM: N/A
[12:49:28] + 142.3s | RAM: 13.41/27.65 GB ( 48.5%) | VRAM: N/A
[12:49:29] + 143.3s | RAM: 13.41/27.65 GB ( 48.5%) | VRAM: N/A
[12:49:30] + 144.3s | RAM: 13.32/27.65 GB ( 48.2%) | VRAM: N/A
[12:49:31] + 145.3s | RAM: 13.36/27.65 GB ( 48.3%) | VRAM: N/A
[12:49:32] + 146.4s | RAM: 13.19/27.65 GB ( 47.7%) | VRAM: N/A
[12:49:33] + 147.4s | RAM: 13.20/27.65 GB ( 47.7%) | VRAM: N/A
[12:49:34] + 148.4s | RAM: 13.20/27.65 GB ( 47.7%) | VRAM: N/A
[12:49:35] + 149.4s | RAM: 13.20/27.65 GB ( 47.7%) | VRAM: N/A
[12:49:36] + 150.4s | RAM: 13.20/27.65 GB ( 47.7%) | VRAM: N/A
[12:49:37] + 151.4s | RAM: 13.22/27.65 GB ( 47.8%) | VRAM: N/A
[12:49:38] + 152.4s | RAM: 13.40/27.65 GB ( 48.5%) | VRAM: N/A
[12:49:39] + 153.5s | RAM: 13.95/27.65 GB ( 50.5%) | VRAM: N/A
[12:49:40] + 154.5s | RAM: 14.80/27.65 GB ( 53.5%) | VRAM: N/A
[12:49:42] + 156.3s | RAM: 14.85/27.65 GB ( 53.7%) | VRAM: N/A
[12:49:44] + 158.5s | RAM: 17.46/27.65 GB ( 63.2%) | VRAM: N/A
[12:49:45] + 159.5s | RAM: 19.37/27.65 GB ( 70.1%) | VRAM: N/A
[12:49:46] + 160.5s | RAM: 21.18/27.65 GB ( 76.6%) | VRAM: N/A
[12:49:47] + 161.5s | RAM: 20.05/27.65 GB ( 72.5%) | VRAM: N/A
[12:49:48] + 162.5s | RAM: 13.73/27.65 GB ( 49.6%) | VRAM: N/A
[12:49:49] + 163.5s | RAM: 13.71/27.65 GB ( 49.6%) | VRAM: N/A
[12:49:50] + 164.5s | RAM: 13.73/27.65 GB ( 49.6%) | VRAM: N/A
[12:49:51] + 165.6s | RAM: 13.65/27.65 GB ( 49.4%) | VRAM: N/A
[12:49:52] + 166.6s | RAM: 13.49/27.65 GB ( 48.8%) | VRAM: N/A
[12:49:53] + 167.6s | RAM: 13.49/27.65 GB ( 48.8%) | VRAM: N/A
[12:49:54] + 168.7s | RAM: 13.31/27.65 GB ( 48.1%) | VRAM: N/A
[12:49:55] + 169.7s | RAM: 13.30/27.65 GB ( 48.1%) | VRAM: N/A
[12:49:56] + 170.7s | RAM: 13.33/27.65 GB ( 48.2%) | VRAM: N/A
[12:49:57] + 171.7s | RAM: 13.39/27.65 GB ( 48.4%) | VRAM: N/A
[12:49:58] + 172.7s | RAM: 13.41/27.65 GB ( 48.5%) | VRAM: N/A
[12:49:59] + 173.7s | RAM: 13.53/27.65 GB ( 48.9%) | VRAM: N/A
[12:50:00] + 174.8s | RAM: 13.67/27.65 GB ( 49.4%) | VRAM: N/A
[12:50:01] + 175.8s | RAM: 13.71/27.65 GB ( 49.6%) | VRAM: N/A
[12:50:02] + 176.9s | RAM: 14.09/27.65 GB ( 51.0%) | VRAM: N/A
[12:50:03] + 177.9s | RAM: 14.08/27.65 GB ( 50.9%) | VRAM: N/A
[12:50:04] + 178.9s | RAM: 14.03/27.65 GB ( 50.7%) | VRAM: N/A
[12:50:05] + 179.9s | RAM: 13.97/27.65 GB ( 50.5%) | VRAM: N/A
[12:50:06] + 180.9s | RAM: 13.89/27.65 GB ( 50.3%) | VRAM: N/A
[12:50:07] + 182.0s | RAM: 13.84/27.65 GB ( 50.1%) | VRAM: N/A
[12:50:08] + 183.0s | RAM: 13.80/27.65 GB ( 49.9%) | VRAM: N/A
[12:50:09] + 184.0s | RAM: 13.76/27.65 GB ( 49.8%) | VRAM: N/A
[12:50:10] + 185.0s | RAM: 13.91/27.65 GB ( 50.3%) | VRAM: N/A
[12:50:11] + 186.0s | RAM: 13.71/27.65 GB ( 49.6%) | VRAM: N/A
[12:50:12] + 187.0s | RAM: 13.69/27.65 GB ( 49.5%) | VRAM: N/A
[12:50:13] + 188.0s | RAM: 13.69/27.65 GB ( 49.5%) | VRAM: N/A
[12:50:14] + 189.1s | RAM: 13.63/27.65 GB ( 49.3%) | VRAM: N/A
[12:50:15] + 190.1s | RAM: 13.60/27.65 GB ( 49.2%) | VRAM: N/A
[12:50:16] + 191.1s | RAM: 13.60/27.65 GB ( 49.2%) | VRAM: N/A
[12:50:17] + 192.1s | RAM: 13.52/27.65 GB ( 48.9%) | VRAM: N/A
[12:50:19] + 193.2s | RAM: 13.51/27.65 GB ( 48.9%) | VRAM: N/A
[12:50:20] + 194.2s | RAM: 13.51/27.65 GB ( 48.9%) | VRAM: N/A
[12:50:21] + 195.2s | RAM: 13.51/27.65 GB ( 48.9%) | VRAM: N/A
[12:50:22] + 196.2s | RAM: 13.50/27.65 GB ( 48.8%) | VRAM: N/A
[12:50:23] + 197.2s | RAM: 13.53/27.65 GB ( 49.0%) | VRAM: N/A
[12:50:24] + 198.3s | RAM: 13.51/27.65 GB ( 48.9%) | VRAM: N/A
[12:50:25] + 199.3s | RAM: 13.51/27.65 GB ( 48.9%) | VRAM: N/A
[12:50:26] + 200.3s | RAM: 13.51/27.65 GB ( 48.9%) | VRAM: N/A
[12:50:27] + 201.4s | RAM: 13.51/27.65 GB ( 48.9%) | VRAM: N/A
[12:50:28] + 202.4s | RAM: 13.50/27.65 GB ( 48.8%) | VRAM: N/A
[12:50:29] + 203.4s | RAM: 13.54/27.65 GB ( 49.0%) | VRAM: N/A
[12:50:30] + 204.4s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[12:50:31] + 205.4s | RAM: 13.47/27.65 GB ( 48.7%) | VRAM: N/A
[12:50:32] + 206.4s | RAM: 13.57/27.65 GB ( 49.1%) | VRAM: N/A
[12:50:33] + 207.5s | RAM: 14.41/27.65 GB ( 52.1%) | VRAM: N/A
[12:50:34] + 209.0s | RAM: 14.98/27.65 GB ( 54.2%) | VRAM: N/A
[12:50:37] + 212.0s | RAM: 17.58/27.65 GB ( 63.6%) | VRAM: N/A
[12:50:38] + 213.0s | RAM: 19.08/27.65 GB ( 69.0%) | VRAM: N/A
[12:50:39] + 214.0s | RAM: 20.13/27.65 GB ( 72.8%) | VRAM: N/A
[12:50:40] + 215.1s | RAM: 21.39/27.65 GB ( 77.4%) | VRAM: N/A
[12:50:41] + 216.1s | RAM: 22.69/27.65 GB ( 82.1%) | VRAM: N/A
[12:50:42] + 217.1s | RAM: 23.98/27.65 GB ( 86.7%) | VRAM: N/A
[12:50:43] + 218.1s | RAM: 21.41/27.65 GB ( 77.4%) | VRAM: N/A
[12:50:44] + 219.1s | RAM: 16.09/27.65 GB ( 58.2%) | VRAM: N/A
[12:50:45] + 220.1s | RAM: 16.09/27.65 GB ( 58.2%) | VRAM: N/A
[12:50:46] + 221.1s | RAM: 16.10/27.65 GB ( 58.2%) | VRAM: N/A
[12:50:47] + 222.1s | RAM: 15.90/27.65 GB ( 57.5%) | VRAM: N/A
[12:50:48] + 223.2s | RAM: 15.93/27.65 GB ( 57.6%) | VRAM: N/A
[12:50:49] + 224.2s | RAM: 16.02/27.65 GB ( 58.0%) | VRAM: N/A
[12:50:51] + 225.2s | RAM: 16.03/27.65 GB ( 58.0%) | VRAM: N/A
[12:50:52] + 226.3s | RAM: 15.89/27.65 GB ( 57.5%) | VRAM: N/A
[12:50:53] + 227.3s | RAM: 15.89/27.65 GB ( 57.5%) | VRAM: N/A
[12:50:54] + 228.3s | RAM: 15.92/27.65 GB ( 57.6%) | VRAM: N/A
[12:50:55] + 229.3s | RAM: 15.95/27.65 GB ( 57.7%) | VRAM: N/A
[12:50:56] + 230.4s | RAM: 16.02/27.65 GB ( 57.9%) | VRAM: N/A
[12:50:57] + 231.4s | RAM: 16.21/27.65 GB ( 58.6%) | VRAM: N/A
[12:50:58] + 232.4s | RAM: 16.06/27.65 GB ( 58.1%) | VRAM: N/A
[12:50:59] + 233.4s | RAM: 16.09/27.65 GB ( 58.2%) | VRAM: N/A
[12:51:00] + 234.5s | RAM: 16.03/27.65 GB ( 58.0%) | VRAM: N/A
[12:51:01] + 235.5s | RAM: 15.89/27.65 GB ( 57.5%) | VRAM: N/A
[12:51:02] + 236.5s | RAM: 15.93/27.65 GB ( 57.6%) | VRAM: N/A
[12:51:03] + 237.6s | RAM: 16.28/27.65 GB ( 58.9%) | VRAM: N/A
[12:51:04] + 238.6s | RAM: 16.11/27.65 GB ( 58.3%) | VRAM: N/A
[12:51:05] + 239.6s | RAM: 16.05/27.65 GB ( 58.1%) | VRAM: N/A
[12:51:06] + 240.6s | RAM: 15.99/27.65 GB ( 57.8%) | VRAM: N/A
[12:51:07] + 241.7s | RAM: 15.93/27.65 GB ( 57.6%) | VRAM: N/A
[12:51:08] + 242.7s | RAM: 15.91/27.65 GB ( 57.5%) | VRAM: N/A
[12:51:09] + 243.7s | RAM: 15.90/27.65 GB ( 57.5%) | VRAM: N/A
[12:51:10] + 244.7s | RAM: 16.00/27.65 GB ( 57.9%) | VRAM: N/A
[12:51:11] + 245.7s | RAM: 15.78/27.65 GB ( 57.1%) | VRAM: N/A
[12:51:12] + 246.7s | RAM: 15.76/27.65 GB ( 57.0%) | VRAM: N/A
[12:51:13] + 247.8s | RAM: 15.78/27.65 GB ( 57.1%) | VRAM: N/A
[12:51:14] + 248.8s | RAM: 15.74/27.65 GB ( 56.9%) | VRAM: N/A
[12:51:15] + 249.8s | RAM: 15.71/27.65 GB ( 56.8%) | VRAM: N/A
[12:51:16] + 250.8s | RAM: 15.71/27.65 GB ( 56.8%) | VRAM: N/A
[12:51:17] + 251.8s | RAM: 15.59/27.65 GB ( 56.4%) | VRAM: N/A
[12:51:18] + 252.8s | RAM: 15.54/27.65 GB ( 56.2%) | VRAM: N/A
[12:51:19] + 253.9s | RAM: 15.50/27.65 GB ( 56.1%) | VRAM: N/A
[12:51:20] + 254.9s | RAM: 15.45/27.65 GB ( 55.9%) | VRAM: N/A
[12:51:21] + 255.9s | RAM: 15.41/27.65 GB ( 55.7%) | VRAM: N/A
[12:51:22] + 256.9s | RAM: 15.43/27.65 GB ( 55.8%) | VRAM: N/A
[12:51:23] + 257.9s | RAM: 15.39/27.65 GB ( 55.7%) | VRAM: N/A
[12:51:24] + 258.9s | RAM: 15.40/27.65 GB ( 55.7%) | VRAM: N/A
[12:51:25] + 259.9s | RAM: 15.40/27.65 GB ( 55.7%) | VRAM: N/A
[12:51:26] + 260.9s | RAM: 15.40/27.65 GB ( 55.7%) | VRAM: N/A
[12:51:27] + 261.9s | RAM: 15.39/27.65 GB ( 55.7%) | VRAM: N/A
[12:51:28] + 262.9s | RAM: 15.43/27.65 GB ( 55.8%) | VRAM: N/A
[12:51:29] + 264.0s | RAM: 15.75/27.65 GB ( 57.0%) | VRAM: N/A
[12:51:30] + 265.0s | RAM: 15.59/27.65 GB ( 56.4%) | VRAM: N/A
[12:51:31] + 266.0s | RAM: 15.64/27.65 GB ( 56.6%) | VRAM: N/A
[12:51:32] + 267.0s | RAM: 15.64/27.65 GB ( 56.6%) | VRAM: N/A
[12:51:33] + 268.0s | RAM: 15.63/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:34] + 269.0s | RAM: 15.63/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:35] + 270.1s | RAM: 15.80/27.65 GB ( 57.1%) | VRAM: N/A
[12:51:36] + 271.1s | RAM: 15.62/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:37] + 272.1s | RAM: 15.62/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:38] + 273.1s | RAM: 15.62/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:39] + 274.1s | RAM: 15.62/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:41] + 275.2s | RAM: 15.62/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:42] + 276.2s | RAM: 15.65/27.65 GB ( 56.6%) | VRAM: N/A
[12:51:43] + 277.2s | RAM: 15.62/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:44] + 278.2s | RAM: 15.63/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:45] + 279.3s | RAM: 15.62/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:46] + 280.3s | RAM: 15.62/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:47] + 281.3s | RAM: 15.62/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:48] + 282.3s | RAM: 15.65/27.65 GB ( 56.6%) | VRAM: N/A
[12:51:49] + 283.4s | RAM: 15.62/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:50] + 284.4s | RAM: 15.63/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:51] + 285.4s | RAM: 15.63/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:52] + 286.4s | RAM: 15.63/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:53] + 287.5s | RAM: 15.62/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:54] + 288.5s | RAM: 15.65/27.65 GB ( 56.6%) | VRAM: N/A
[12:51:55] + 289.5s | RAM: 15.80/27.65 GB ( 57.2%) | VRAM: N/A
[12:51:56] + 290.6s | RAM: 15.63/27.65 GB ( 56.5%) | VRAM: N/A
[12:51:57] + 291.6s | RAM: 15.63/27.65 GB ( 56.6%) | VRAM: N/A
[12:51:58] + 292.6s | RAM: 15.63/27.65 GB ( 56.6%) | VRAM: N/A
[12:51:59] + 293.6s | RAM: 15.63/27.65 GB ( 56.5%) | VRAM: N/A
[12:52:00] + 294.6s | RAM: 15.56/27.65 GB ( 56.3%) | VRAM: N/A
[12:52:01] + 295.7s | RAM: 15.61/27.65 GB ( 56.5%) | VRAM: N/A
[12:52:02] + 296.7s | RAM: 15.43/27.65 GB ( 55.8%) | VRAM: N/A
[12:52:03] + 297.7s | RAM: 15.43/27.65 GB ( 55.8%) | VRAM: N/A
[12:52:04] + 298.7s | RAM: 15.43/27.65 GB ( 55.8%) | VRAM: N/A
[12:52:05] + 299.8s | RAM: 15.43/27.65 GB ( 55.8%) | VRAM: N/A
[12:52:06] + 300.8s | RAM: 15.43/27.65 GB ( 55.8%) | VRAM: N/A
[12:52:07] + 301.8s | RAM: 15.46/27.65 GB ( 55.9%) | VRAM: N/A
[12:52:08] + 302.8s | RAM: 15.44/27.65 GB ( 55.8%) | VRAM: N/A
[12:52:09] + 303.9s | RAM: 15.44/27.65 GB ( 55.8%) | VRAM: N/A
